Country,Sector,Direct Impact,Indirect Impact,Total Impact,Multiplier Type,Unit of Measure
USA,USA_P,4376.536748,7290.700044,11667.23679,Tax Revenue Share (USD per million USD output),USD per million USD
USA,USA_Q,3992.874228,12534.51157,16527.3858,Tax Revenue Share (USD per million USD output),USD per million USD
USA,USA_R,3744.177921,1215.115206,4959.293127,Tax Revenue Share (USD per million USD output),USD per million USD
USA,USA_S,2142.624783,3398.720601,5541.345384,Tax Revenue Share (USD per million USD output),USD per million USD
USA,USA_T,0,0,0,Tax Revenue Share (USD per million USD output),USD per million USD
CAN,CAN_A01_02,1.15233109,0.807228689,1.959559779,Output Multiplier,Dimensionless
CAN,CAN_A03,1.002870748,0.844869735,1.847740483,Output Multiplier,Dimensionless
CAN,CAN_B05_06,1.021038699,0.337329916,1.358368615,Output Multiplier,Dimensionless
CAN,CAN_B07_08,1.016219752,1.024417386,2.040637138,Output Multiplier,Dimensionless
CAN,CAN_B09,1.031505972,1.126407364,2.157913336,Output Multiplier,Dimensionless
CAN,CAN_C10T12,1.160120739,0.319901042,1.480021781,Output Multiplier,Dimensionless
CAN,CAN_C13T15,1.039132199,0.440556553,1.479688752,Output Multiplier,Dimensionless
CAN,CAN_C16,1.155180467,0.912768483,2.06794895,Output Multiplier,Dimensionless
CAN,CAN_C17_18,1.136315635,0.697242158,1.833557793,Output Multiplier,Dimensionless
CAN,CAN_C19,1.045844432,0.896450431,1.942294863,Output Multiplier,Dimensionless
CAN,CAN_C20,1.117919845,0.792711981,1.910631826,Output Multiplier,Dimensionless
CAN,CAN_C21,1.04304846,0.388212681,1.43126114,Output Multiplier,Dimensionless
CAN,CAN_C22,1.041507899,0.802863268,1.844371168,Output Multiplier,Dimensionless
CAN,CAN_C23,1.11234433,0.994456738,2.106801068,Output Multiplier,Dimensionless
CAN,CAN_C24,1.333965801,0.433106829,1.76707263,Output Multiplier,Dimensionless
CAN,CAN_C25,1.071068434,0.94274349,2.013811924,Output Multiplier,Dimensionless
CAN,CAN_C26,1.054782823,0.589198824,1.643981648,Output Multiplier,Dimensionless
CAN,CAN_C27,1.033183228,0.729709113,1.762892341,Output Multiplier,Dimensionless
CAN,CAN_C28,1.067011385,0.597692382,1.664703767,Output Multiplier,Dimensionless
CAN,CAN_C29,1.130237222,0.13673165,1.266968872,Output Multiplier,Dimensionless
